Timestamp,Location,Vehicle Count,Avg Speed,Density
2025-04-09 15:21:12.486691,Jaydev Vihar,142,27,91.81
2025-04-09 15:21:12.486691,Rupali Square,21,20,15.84
2025-04-09 15:21:12.491343,CRP Square,46,73,33.5
2025-04-09 15:21:22.496159,Jaydev Vihar,36,42,35.65
2025-04-09 15:21:22.497437,Rupali Square,39,52,40.0
2025-04-09 15:21:22.501449,CRP Square,41,52,29.1
2025-04-09 15:21:32.505069,Jaydev Vihar,122,42,134.87
2025-04-09 15:21:32.510493,Rupali Square,44,25,47.98
2025-04-09 15:21:32.516559,CRP Square,81,21,41.66
2025-04-09 15:21:42.521573,Jaydev Vihar,65,73,48.35
2025-04-09 15:21:42.521573,Rupali Square,124,54,72.88
2025-04-09 15:21:42.524580,CRP Square,88,36,56.71
2025-04-09 15:21:52.526567,Jaydev Vihar,142,38,74.0
2025-04-09 15:21:52.530296,Rupali Square,141,76,233.52
2025-04-09 15:21:52.532822,CRP Square,27,63,15.49
2025-04-09 15:22:02.537848,Jaydev Vihar,134,47,230.31
2025-04-09 15:22:02.539241,Rupali Square,19,24,14.56
2025-04-09 15:22:02.544688,CRP Square,104,73,62.98
2025-04-09 15:22:12.550333,Jaydev Vihar,147,25,126.18
2025-04-09 15:22:12.553527,Rupali Square,144,73,148.04
2025-04-09 15:22:12.553527,CRP Square,112,65,211.9
2025-04-09 15:22:22.561795,Jaydev Vihar,75,46,113.96
2025-04-09 15:22:22.563981,Rupali Square,52,34,88.5
2025-04-09 15:22:22.567422,CRP Square,58,23,31.16
2025-04-09 15:22:32.571832,Jaydev Vihar,148,40,165.9
2025-04-09 15:22:32.576276,Rupali Square,98,55,93.68
2025-04-09 15:22:32.581983,CRP Square,114,46,123.16
2025-04-09 15:22:42.587335,Jaydev Vihar,61,28,35.79
2025-04-09 15:22:42.590898,Rupali Square,81,26,77.31
2025-04-09 15:22:42.594119,CRP Square,24,47,16.65
2025-04-09 15:22:52.599439,Jaydev Vihar,105,24,107.19
2025-04-09 15:22:52.600457,Rupali Square,27,31,18.89
2025-04-09 15:22:52.605758,CRP Square,149,52,89.57
2025-04-09 15:23:02.612165,Jaydev Vihar,37,42,32.1
2025-04-09 15:23:02.615307,Rupali Square,15,25,8.41
2025-04-09 15:23:02.617832,CRP Square,143,61,137.22
2025-04-09 15:23:12.622017,Jaydev Vihar,29,71,15.17
2025-04-09 15:23:12.624035,Rupali Square,16,60,20.51
2025-04-09 15:23:12.628143,CRP Square,120,74,130.31
2025-04-09 15:23:22.633321,Jaydev Vihar,72,70,92.81
2025-04-09 15:23:22.637155,Rupali Square,57,21,63.07
2025-04-09 15:23:22.638357,CRP Square,59,56,30.14
2025-04-09 15:23:32.647936,Jaydev Vihar,95,49,55.86
2025-04-09 15:23:32.649361,Rupali Square,48,41,55.1
2025-04-09 15:23:32.652799,CRP Square,63,59,54.29
2025-04-09 15:23:42.658455,Jaydev Vihar,68,27,41.2
2025-04-09 15:23:42.662490,Rupali Square,29,44,22.62
2025-04-09 15:23:42.665867,CRP Square,142,47,88.31
2025-04-09 15:23:52.669973,Jaydev Vihar,23,61,11.52
2025-04-09 15:23:52.679113,Rupali Square,101,69,51.41
2025-04-09 15:23:52.682990,CRP Square,42,73,64.76
2025-04-09 15:24:02.688105,Jaydev Vihar,75,26,48.41
2025-04-09 15:24:02.689477,Rupali Square,148,53,82.22
2025-04-09 15:24:02.692831,CRP Square,89,42,78.51
2025-04-09 15:24:12.696101,Jaydev Vihar,104,67,88.85
2025-04-09 15:24:12.699527,Rupali Square,24,65,40.78
2025-04-09 15:24:12.702401,CRP Square,83,26,160.46
2025-04-09 15:24:22.709148,Jaydev Vihar,80,44,96.44
2025-04-09 15:24:22.715194,Rupali Square,94,32,80.29
2025-04-09 15:24:22.720159,CRP Square,36,20,39.77
2025-04-09 15:24:32.725071,Jaydev Vihar,77,71,68.08
2025-04-09 15:24:32.728322,Rupali Square,88,24,172.76
2025-04-09 15:24:32.734826,CRP Square,87,35,48.51
2025-04-09 15:24:42.742492,Jaydev Vihar,97,52,56.09
2025-04-09 15:24:42.745065,Rupali Square,50,39,46.38
2025-04-09 15:24:42.747852,CRP Square,85,61,79.82
2025-04-09 15:24:52.754361,Jaydev Vihar,142,36,114.17
2025-04-09 15:24:52.759275,Rupali Square,10,53,7.26
2025-04-09 15:24:52.761021,CRP Square,47,74,41.36
2025-04-09 15:25:02.767462,Jaydev Vihar,30,42,19.34
2025-04-09 15:25:02.768901,Rupali Square,13,32,13.27
2025-04-09 15:25:02.773108,CRP Square,65,21,57.83
2025-04-09 15:25:12.779085,Jaydev Vihar,135,73,121.55
2025-04-09 15:25:12.781357,Rupali Square,128,24,97.53
2025-04-09 15:25:12.784505,CRP Square,57,55,36.67
2025-04-09 15:25:22.792111,Jaydev Vihar,144,80,241.95
2025-04-09 15:25:22.797164,Rupali Square,55,27,27.7
2025-04-09 15:25:22.800277,CRP Square,15,67,12.55
2025-04-09 15:25:32.805595,Jaydev Vihar,43,74,21.51
2025-04-09 15:25:32.810156,Rupali Square,140,25,179.57
2025-04-09 15:25:32.816230,CRP Square,125,77,142.77
2025-04-09 15:25:42.821083,Jaydev Vihar,116,69,154.41
2025-04-09 15:25:42.825573,Rupali Square,120,57,124.95
2025-04-09 15:25:42.829459,CRP Square,114,37,183.78
2025-04-09 15:25:52.835993,Jaydev Vihar,56,74,46.32
2025-04-09 15:25:52.835993,Rupali Square,19,48,14.81
2025-04-09 15:25:52.843336,CRP Square,31,27,29.03
2025-04-09 15:26:02.848573,Jaydev Vihar,32,46,24.53
2025-04-09 15:26:02.851004,Rupali Square,52,28,30.29
2025-04-09 15:26:02.859892,CRP Square,30,79,21.31
2025-04-09 15:26:12.865752,Jaydev Vihar,114,20,116.72
2025-04-09 15:26:12.868224,Rupali Square,98,28,67.61
2025-04-09 15:26:12.870239,CRP Square,53,52,29.59
2025-04-09 15:26:22.875645,Jaydev Vihar,81,50,46.06
2025-04-09 15:26:22.882200,Rupali Square,85,32,157.34
2025-04-09 15:26:22.888809,CRP Square,74,48,51.78
2025-04-09 15:26:32.891233,Jaydev Vihar,142,67,107.29
2025-04-09 15:26:32.893580,Rupali Square,75,28,103.03
2025-04-09 15:26:32.895596,CRP Square,113,51,96.93
2025-04-09 15:26:42.902754,Jaydev Vihar,16,72,17.28
2025-04-09 15:26:42.902754,Rupali Square,42,31,42.66
2025-04-09 15:26:42.907616,CRP Square,49,44,47.11
2025-04-09 15:26:52.914700,Jaydev Vihar,35,69,49.64
2025-04-09 15:26:52.914700,Rupali Square,87,29,45.42
2025-04-09 15:26:52.920346,CRP Square,38,48,23.66
2025-04-09 15:27:02.927743,Jaydev Vihar,121,56,65.01
2025-04-09 15:27:02.927743,Rupali Square,84,37,67.05
2025-04-09 15:27:02.933508,CRP Square,89,39,47.22
2025-04-09 15:27:12.941028,Jaydev Vihar,79,38,72.18
2025-04-09 15:27:12.946217,Rupali Square,45,43,29.47
2025-04-09 15:27:12.949545,CRP Square,71,31,136.92
2025-04-09 15:27:22.955180,Jaydev Vihar,94,39,86.05
2025-04-09 15:27:22.959579,Rupali Square,85,57,44.61
2025-04-09 15:27:22.967378,CRP Square,20,40,32.33
2025-04-09 15:27:32.972246,Jaydev Vihar,147,39,180.18
2025-04-09 15:27:32.975261,Rupali Square,130,78,223.76
2025-04-09 15:27:32.979732,CRP Square,40,36,46.61
2025-04-09 15:27:42.985555,Jaydev Vihar,88,46,74.09
2025-04-09 15:27:42.987786,Rupali Square,65,35,68.9
2025-04-09 15:27:42.998457,CRP Square,74,68,43.77
2025-04-09 15:27:53.002604,Jaydev Vihar,49,49,68.34
2025-04-09 15:27:53.004809,Rupali Square,132,64,173.56
2025-04-09 15:27:53.011649,CRP Square,45,66,53.55
